"","iso_2","iso_3","country","continent","oecd","year","category","share"
"258","CL","CHL","Chile","SA",1,"2022","4000","5.098"
"259","CL","CHL","Chile","SA",1,"2021","2000","5.265"
"260","CL","CHL","Chile","SA",1,"2019","1100","7.16"
"261","CL","CHL","Chile","SA",1,"2018","4000","5.176"
"262","CL","CHL","Chile","SA",1,"2018","5000","53.257"
"263","CL","CHL","Chile","SA",1,"2021","1100","10.812"
"264","CL","CHL","Chile","SA",1,"2022","1100","10.539"
"265","CL","CHL","Chile","SA",1,"2019","4000","5.466"
"266","CL","CHL","Chile","SA",1,"2020","4000","5.338"
"267","CL","CHL","Chile","SA",1,"2021","4000","4.876"
"268","CL","CHL","Chile","SA",1,"2020","1300","-2.23"
"269","CL","CHL","Chile","SA",1,"2022","2000","4.112"
"270","CL","CHL","Chile","SA",1,"1990","6000","-1.314"
"271","CL","CHL","Chile","SA",1,"2019","1300","4.261"
"272","CL","CHL","Chile","SA",1,"2022","1300","9.487"
"273","CL","CHL","Chile","SA",1,"2018","1100","6.701"
"274","CL","CHL","Chile","SA",1,"2020","1100","10.243"
"275","CL","CHL","Chile","SA",1,"2021","3000","0"
"276","CL","CHL","Chile","SA",1,"2022","3000","0"
"277","CL","CHL","Chile","SA",1,"1990","5000","62.948"
"278","CL","CHL","Chile","SA",1,"2021","1300","10.345"
"279","CL","CHL","Chile","SA",1,"2022","6000","-0.773"
"280","CL","CHL","Chile","SA",1,"1990","4000","6.151"
"281","CO","COL","Colombia","SA",1,"1990","5000","53.836"
"282","CO","COL","Colombia","SA",1,"1990","6000","6.177"
"283","CO","COL","Colombia","SA",1,"1990","1100","1.83"
"284","CO","COL","Colombia","SA",1,"1990","1300","14.14"
"285","CO","COL","Colombia","SA",1,"1990","2000","7.893"
"286","CO","COL","Colombia","SA",1,"1990","3000","0"
"287","CO","COL","Colombia","SA",1,"1990","1200","13.947"
"288","CO","COL","Colombia","SA",1,"2020","2000","9.92"
"289","CO","COL","Colombia","SA",1,"2021","2000","9.955"
"290","CO","COL","Colombia","SA",1,"2022","2000","8.282"
"291","CO","COL","Colombia","SA",1,"2018","3000","1.819"
"292","CO","COL","Colombia","SA",1,"2019","3000","1.724"
"293","CO","COL","Colombia","SA",1,"2020","3000","1.956"
"294","CO","COL","Colombia","SA",1,"2021","3000","1.711"
"295","CO","COL","Colombia","SA",1,"2022","3000","1.532"
"296","CO","COL","Colombia","SA",1,"2018","4000","8.022"
"297","CO","COL","Colombia","SA",1,"2019","4000","9.08"
"298","CO","COL","Colombia","SA",1,"2020","4000","9.681"
"299","CO","COL","Colombia","SA",1,"2021","4000","8.737"
"300","CO","COL","Colombia","SA",1,"1990","4000","2.177"
"301","CO","COL","Colombia","SA",1,"2018","5000","42.779"
"302","CO","COL","Colombia","SA",1,"2019","5000","42.951"
"303","CO","COL","Colombia","SA",1,"2020","5000","41.432"
"304","CO","COL","Colombia","SA",1,"2021","5000","43.256"
"305","CO","COL","Colombia","SA",1,"2022","5000","44.802"
"306","CO","COL","Colombia","SA",1,"2018","6000","4.166"
"307","CO","COL","Colombia","SA",1,"2019","6000","4.443"
"308","CO","COL","Colombia","SA",1,"2020","6000","4.074"
"309","CO","COL","Colombia","SA",1,"2021","6000","4.433"
"310","CO","COL","Colombia","SA",1,"2022","6000","4.414"
"311","CO","COL","Colombia","SA",1,"2018","1100","6.445"
"312","CO","COL","Colombia","SA",1,"2019","1100","6.813"
"313","CO","COL","Colombia","SA",1,"2020","1100","7.635"
"314","CO","COL","Colombia","SA",1,"2021","1100","6.867"
"315","CO","COL","Colombia","SA",1,"2022","1100","6.576"
"316","CO","COL","Colombia","SA",1,"2018","1200","25.562"
"317","CO","COL","Colombia","SA",1,"2019","1200","24.052"
"318","CO","COL","Colombia","SA",1,"2020","1200","23.052"
"319","CO","COL","Colombia","SA",1,"2021","1200","23.714"
"320","CO","COL","Colombia","SA",1,"2022","1200","25.282"
"321","CO","COL","Colombia","SA",1,"2018","1300","1.647"
"322","CO","COL","Colombia","SA",1,"2019","1300","1.431"
"323","CO","COL","Colombia","SA",1,"2020","1300","2.251"
"324","CO","COL","Colombia","SA",1,"2021","1300","1.327"
"325","CO","COL","Colombia","SA",1,"2022","1300","1.359"
"326","CO","COL","Colombia","SA",1,"2018","2000","9.56"
"327","CO","COL","Colombia","SA",1,"2019","2000","9.507"
"328","CO","COL","Colombia","SA",1,"2022","4000","7.753"
"329","CR","CRI","Costa Rica","NO",1,"2022","2000","34.784"
"330","CR","CRI","Costa Rica","NO",1,"2018","3000","5.978"
"331","CR","CRI","Costa Rica","NO",1,"2019","3000","5.9"
"332","CR","CRI","Costa Rica","NO",1,"2021","2000","35.988"
"333","CR","CRI","Costa Rica","NO",1,"2021","3000","5.682"
"334","CR","CRI","Costa Rica","NO",1,"2022","3000","5.668"
"335","CR","CRI","Costa Rica","NO",1,"2018","4000","1.79"
"336","CR","CRI","Costa Rica","NO",1,"2020","3000","6.528"
"337","CR","CRI","Costa Rica","NO",1,"2020","4000","1.979"
"338","CR","CRI","Costa Rica","NO",1,"2021","4000","2.081"
"339","CR","CRI","Costa Rica","NO",1,"2022","4000","1.956"
"340","CR","CRI","Costa Rica","NO",1,"2019","4000","1.897"
"341","CR","CRI","Costa Rica","NO",1,"2018","5000","34.994"
"342","CR","CRI","Costa Rica","NO",1,"2019","5000","34.801"
"343","CR","CRI","Costa Rica","NO",1,"2020","5000","33.333"
"344","CR","CRI","Costa Rica","NO",1,"2021","5000","34.818"
