"iso_2","iso_3","country","continent","oecd","year","category","value"
"BE","BEL","Belgium","EU",1,"2009","1300",0.042
"BE","BEL","Belgium","EU",1,"2010","1300",0.05
"BE","BEL","Belgium","EU",1,"2011","1300",0.049
"BE","BEL","Belgium","EU",1,"2011","3000",0.012
"BE","BEL","Belgium","EU",1,"2012","3000",0.01
"BE","BEL","Belgium","EU",1,"2013","3000",0.01
"BE","BEL","Belgium","EU",1,"2014","3000",0.01
"BE","BEL","Belgium","EU",1,"2015","3000",0.009
"BE","BEL","Belgium","EU",1,"2017","1300",0.071
"BE","BEL","Belgium","EU",1,"2018","1300",0.084
"BE","BEL","Belgium","EU",1,"2018","3000",0.008
"BE","BEL","Belgium","EU",1,"2019","3000",0.01
"BE","BEL","Belgium","EU",1,"2020","3000",0.005
"BE","BEL","Belgium","EU",1,"2008","1300",0.035
"BE","BEL","Belgium","EU",1,"2010","5000",53.862
"BE","BEL","Belgium","EU",1,"2011","5000",58.218
"BE","BEL","Belgium","EU",1,"2012","5000",56.709
"BE","BEL","Belgium","EU",1,"2013","5000",58.449
"BE","BEL","Belgium","EU",1,"2014","5000",58.929
"BE","BEL","Belgium","EU",1,"2008","2000",70.909
"BE","BEL","Belgium","EU",1,"2009","2000",68.731
"BE","BEL","Belgium","EU",1,"2010","2000",66.903
"BE","BEL","Belgium","EU",1,"2011","2000",73.616
"BE","BEL","Belgium","EU",1,"2012","2000",70.788
"BE","BEL","Belgium","EU",1,"2008","4000",15.737
"BE","BEL","Belgium","EU",1,"2019","1200",19.853
"BE","BEL","Belgium","EU",1,"2014","4000",18.914
"BE","BEL","Belgium","EU",1,"2015","4000",15.983
"BE","BEL","Belgium","EU",1,"2014","1300",0.076
"BE","BEL","Belgium","EU",1,"2015","1300",0.056
"BE","BEL","Belgium","EU",1,"2016","1300",0.07
"BE","BEL","Belgium","EU",1,"2012","1300",0.038
"BE","BEL","Belgium","EU",1,"2013","1300",0.068
"BE","BEL","Belgium","EU",1,"2018","1200",23.353
"BE","BEL","Belgium","EU",1,"2020","1300",0.082
"BE","BEL","Belgium","EU",1,"2019","1300",0.08
"CA","CAN","Canada","NO",1,"2010","5000",120.12
"CA","CAN","Canada","NO",1,"2011","5000",131.123
"CA","CAN","Canada","NO",1,"2012","5000",133.271
"CA","CAN","Canada","NO",1,"2018","5000",134.755
"CA","CAN","Canada","NO",1,"2011","1100",199.243
"CA","CAN","Canada","NO",1,"2009","1200",46.334
"CA","CAN","Canada","NO",1,"2012","6000",0.684
"CA","CAN","Canada","NO",1,"2009","5000",101.846
"CA","CAN","Canada","NO",1,"2008","1200",50.16
"CA","CAN","Canada","NO",1,"2015","5000",117.561
"CA","CAN","Canada","NO",1,"2010","1200",52.513
"CA","CAN","Canada","NO",1,"2017","5000",128.499
"CA","CAN","Canada","NO",1,"2008","6000",0.535
"CA","CAN","Canada","NO",1,"2009","6000",0.517
"CA","CAN","Canada","NO",1,"2016","5000",116.79
"CA","CAN","Canada","NO",1,"2008","5000",109.08
"CA","CAN","Canada","NO",1,"2011","6000",0.648
"CA","CAN","Canada","NO",1,"2019","1200",72.466
"CA","CAN","Canada","NO",1,"2013","1300",5.217
"CA","CAN","Canada","NO",1,"2014","1300",6.015
"CA","CAN","Canada","NO",1,"2015","1300",5.197
"CA","CAN","Canada","NO",1,"2016","1300",5.109
"CA","CAN","Canada","NO",1,"2017","1300",5.761
"CA","CAN","Canada","NO",1,"2018","1300",6.886
"CA","CAN","Canada","NO",1,"2019","1300",7.562
"CA","CAN","Canada","NO",1,"2020","1300",6.077
"CA","CAN","Canada","NO",1,"2018","3000",11.47
"CA","CAN","Canada","NO",1,"2019","3000",12.996
